# SDSS Spec efficiency for SIM = G10smear 
#
# EFF(r)  = 1               (r < 20.3456) 
# EFF(r)  = 1/[ 1 + (r-20.3456)]**0.930191  (r > 20.3456) 
# EFF(g-r)= Gauss[ (g - r + -0.0422527), sig=-0.339447 ] 
# SPECEFF = EFF(r) x EFF(g-r) 
#

NVAR: 2
VARNAMES:  REDSHIFT  SPECEFF  # ensure 100% eff at low redshift 
SPECEFF:  0.00  1.000 
SPECEFF:  0.10  1.000 


NVAR: 3
VARNAMES:    g-r    r    SPECEFF
SPECEFF:   -1.88  22.45   0.3486           
SPECEFF:   -1.88  22.55   0.3385           
SPECEFF:   -1.88  22.65   0.3290           
SPECEFF:   -1.88  22.75   0.3200           
SPECEFF:   -1.88  22.85   0.3115           
SPECEFF:   -1.88  22.95   0.3034           
SPECEFF:   -1.88  23.05   0.2958           
SPECEFF:   -1.88  23.15   0.2886           
SPECEFF:   -1.88  23.25   0.2817           
SPECEFF:   -1.88  23.35   0.2751           
SPECEFF:   -1.88  23.45   0.2689           
SPECEFF:   -1.88  23.55   0.2629           
SPECEFF:   -1.88  23.65   0.2572           
SPECEFF:   -1.88  23.75   0.2518           
SPECEFF:   -1.88  23.85   0.2466           
SPECEFF:   -1.88  23.95   0.2416           
SPECEFF:   -1.88  24.05   0.2368           
SPECEFF:   -1.88  24.15   0.2322           
SPECEFF:   -1.88  24.25   0.2278           
SPECEFF:   -1.88  24.35   0.2236           
SPECEFF:   -1.88  24.45   0.2195           
SPECEFF:   -1.88  24.55   0.2156           
SPECEFF:   -1.88  24.65   0.2118           
SPECEFF:   -1.88  24.75   0.2082           
SPECEFF:   -1.88  24.85   0.2046           
SPECEFF:   -1.88  24.95   0.2012           
SPECEFF:   -1.83  15.05   1.0000           
SPECEFF:   -1.83  15.15   1.0000           
SPECEFF:   -1.83  15.25   1.0000           
SPECEFF:   -1.83  15.35   1.0000           
SPECEFF:   -1.83  15.45   1.0000           
SPECEFF:   -1.83  15.55   1.0000           
SPECEFF:   -1.83  15.65   1.0000           
SPECEFF:   -1.83  15.75   1.0000           
SPECEFF:   -1.83  15.85   1.0000           
SPECEFF:   -1.83  15.95   1.0000           
SPECEFF:   -1.83  16.05   1.0000           
SPECEFF:   -1.83  16.15   1.0000           
SPECEFF:   -1.83  16.25   1.0000           
SPECEFF:   -1.83  16.35   1.0000           
SPECEFF:   -1.83  16.45   1.0000           
SPECEFF:   -1.83  16.55   1.0000           
SPECEFF:   -1.83  16.65   1.0000           
SPECEFF:   -1.83  16.75   1.0000           
SPECEFF:   -1.83  16.85   1.0000           
SPECEFF:   -1.83  16.95   1.0000           
SPECEFF:   -1.83  17.05   1.0000           
SPECEFF:   -1.83  17.15   1.0000           
SPECEFF:   -1.83  17.25   1.0000           
SPECEFF:   -1.83  17.35   1.0000           
SPECEFF:   -1.83  17.45   1.0000           
SPECEFF:   -1.83  17.55   1.0000           
SPECEFF:   -1.83  17.65   1.0000           
SPECEFF:   -1.83  17.75   1.0000           
SPECEFF:   -1.83  17.85   1.0000           
SPECEFF:   -1.83  17.95   1.0000           
SPECEFF:   -1.83  18.05   1.0000           
SPECEFF:   -1.83  18.15   1.0000           
SPECEFF:   -1.83  18.25   1.0000           
SPECEFF:   -1.83  18.35   1.0000           
SPECEFF:   -1.83  18.45   1.0000           
SPECEFF:   -1.83  18.55   1.0000           
SPECEFF:   -1.83  18.65   1.0000           
SPECEFF:   -1.83  18.75   1.0000           
SPECEFF:   -1.83  18.85   1.0000           
SPECEFF:   -1.83  18.95   1.0000           
SPECEFF:   -1.83  19.05   1.0000           
SPECEFF:   -1.83  19.15   1.0000           
SPECEFF:   -1.83  19.25   1.0000           
SPECEFF:   -1.83  19.35   1.0000           
SPECEFF:   -1.83  19.45   1.0000           
SPECEFF:   -1.83  19.55   1.0000           
SPECEFF:   -1.83  19.65   1.0000           
SPECEFF:   -1.83  19.75   1.0000           
SPECEFF:   -1.83  19.85   1.0000           
SPECEFF:   -1.83  19.95   1.0000           
SPECEFF:   -1.83  20.05   1.0000           
SPECEFF:   -1.83  20.15   1.0000           
SPECEFF:   -1.83  20.25   1.0000           
SPECEFF:   -1.83  20.35   0.9959           
SPECEFF:   -1.83  20.45   0.9118           
SPECEFF:   -1.83  20.55   0.8411           
SPECEFF:   -1.83  20.65   0.7810           
SPECEFF:   -1.83  20.75   0.7291           
SPECEFF:   -1.83  20.85   0.6839           
SPECEFF:   -1.83  20.95   0.6442           
SPECEFF:   -1.83  21.05   0.6090           
SPECEFF:   -1.83  21.15   0.5775           
SPECEFF:   -1.83  21.25   0.5493           
SPECEFF:   -1.83  21.35   0.5237           
SPECEFF:   -1.83  21.45   0.5005           
SPECEFF:   -1.83  21.55   0.4794           
SPECEFF:   -1.83  21.65   0.4600           
SPECEFF:   -1.83  21.75   0.4422           
SPECEFF:   -1.83  21.85   0.4257           
SPECEFF:   -1.83  21.95   0.4105           
SPECEFF:   -1.83  22.05   0.3964           
SPECEFF:   -1.83  22.15   0.3832           
SPECEFF:   -1.83  22.25   0.3709           
SPECEFF:   -1.83  22.35   0.3594           
SPECEFF:   -1.83  22.45   0.3486           
SPECEFF:   -1.83  22.55   0.3385           
SPECEFF:   -1.83  22.65   0.3290           
SPECEFF:   -1.83  22.75   0.3200           
SPECEFF:   -1.83  22.85   0.3115           
SPECEFF:   -1.83  22.95   0.3034           
SPECEFF:   -1.83  23.05   0.2958           
SPECEFF:   -1.83  23.15   0.2886           
SPECEFF:   -1.83  23.25   0.2817           
SPECEFF:   -1.83  23.35   0.2751           
SPECEFF:   -1.83  23.45   0.2689           
SPECEFF:   -1.83  23.55   0.2629           
SPECEFF:   -1.83  23.65   0.2572           
SPECEFF:   -1.83  23.75   0.2518           
SPECEFF:   -1.83  23.85   0.2466           
SPECEFF:   -1.83  23.95   0.2416           
SPECEFF:   -1.83  24.05   0.2368           
SPECEFF:   -1.83  24.15   0.2322           
SPECEFF:   -1.83  24.25   0.2278           
SPECEFF:   -1.83  24.35   0.2236           
SPECEFF:   -1.83  24.45   0.2195           
SPECEFF:   -1.83  24.55   0.2156           
SPECEFF:   -1.83  24.65   0.2118           
SPECEFF:   -1.83  24.75   0.2082           
SPECEFF:   -1.83  24.85   0.2046           
SPECEFF:   -1.83  24.95   0.2012           
SPECEFF:   -1.78  15.05   1.0000           
SPECEFF:   -1.78  15.15   1.0000           
SPECEFF:   -1.78  15.25   1.0000           
SPECEFF:   -1.78  15.35   1.0000           
SPECEFF:   -1.78  15.45   1.0000           
SPECEFF:   -1.78  15.55   1.0000           
SPECEFF:   -1.78  15.65   1.0000           
SPECEFF:   -1.78  15.75   1.0000           
SPECEFF:   -1.78  15.85   1.0000           
SPECEFF:   -1.78  15.95   1.0000           
SPECEFF:   -1.78  16.05   1.0000           
SPECEFF:   -1.78  16.15   1.0000           
SPECEFF:   -1.78  16.25   1.0000           
SPECEFF:   -1.78  16.35   1.0000           
SPECEFF:   -1.78  16.45   1.0000           
SPECEFF:   -1.78  16.55   1.0000           
SPECEFF:   -1.78  16.65   1.0000           
SPECEFF:   -1.78  16.75   1.0000           
SPECEFF:   -1.78  16.85   1.0000           
SPECEFF:   -1.78  16.95   1.0000           
SPECEFF:   -1.78  17.05   1.0000           
SPECEFF:   -1.78  17.15   1.0000           
SPECEFF:   -1.78  17.25   1.0000           
SPECEFF:   -1.78  17.35   1.0000           
SPECEFF:   -1.78  17.45   1.0000           
SPECEFF:   -1.78  17.55   1.0000           
SPECEFF:   -1.78  17.65   1.0000           
SPECEFF:   -1.78  17.75   1.0000           
SPECEFF:   -1.78  17.85   1.0000           
SPECEFF:   -1.78  17.95   1.0000           
SPECEFF:   -1.78  18.05   1.0000           
SPECEFF:   -1.78  18.15   1.0000           
SPECEFF:   -1.78  18.25   1.0000           
SPECEFF:   -1.78  18.35   1.0000           
SPECEFF:   -1.78  18.45   1.0000           
SPECEFF:   -1.78  18.55   1.0000           
SPECEFF:   -1.78  18.65   1.0000           
SPECEFF:   -1.78  18.75   1.0000           
SPECEFF:   -1.78  18.85   1.0000           
SPECEFF:   -1.78  18.95   1.0000           
SPECEFF:   -1.78  19.05   1.0000           
SPECEFF:   -1.78  19.15   1.0000           
SPECEFF:   -1.78  19.25   1.0000           
SPECEFF:   -1.78  19.35   1.0000           
SPECEFF:   -1.78  19.45   1.0000           
SPECEFF:   -1.78  19.55   1.0000           
SPECEFF:   -1.78  19.65   1.0000           
SPECEFF:   -1.78  19.75   1.0000           
SPECEFF:   -1.78  19.85   1.0000           
SPECEFF:   -1.78  19.95   1.0000           
SPECEFF:   -1.78  20.05   1.0000           
SPECEFF:   -1.78  20.15   1.0000           
SPECEFF:   -1.78  20.25   1.0000           
SPECEFF:   -1.78  20.35   0.9959           
SPECEFF:   -1.78  20.45   0.9118           
SPECEFF:   -1.78  20.55   0.8411           
SPECEFF:   -1.78  20.65   0.7810           
SPECEFF:   -1.78  20.75   0.7291           
SPECEFF:   -1.78  20.85   0.6839           
SPECEFF:   -1.78  20.95   0.6442           
SPECEFF:   -1.78  21.05   0.6090           
SPECEFF:   -1.78  21.15   0.5775           
SPECEFF:   -1.78  21.25   0.5493           
SPECEFF:   -1.78  21.35   0.5237           
SPECEFF:   -1.78  21.45   0.5005           
SPECEFF:   -1.78  21.55   0.4794           
SPECEFF:   -1.78  21.65   0.4600           
SPECEFF:   -1.78  21.75   0.4422           
SPECEFF:   -1.78  21.85   0.4257           
SPECEFF:   -1.78  21.95   0.4105           
SPECEFF:   -1.78  22.05   0.3964           
SPECEFF:   -1.78  22.15   0.3832           
SPECEFF:   -1.78  22.25   0.3709           
SPECEFF:   -1.78  22.35   0.3594           
SPECEFF:   -1.78  22.45   0.3486           
SPECEFF:   -1.78  22.55   0.3385           
SPECEFF:   -1.78  22.65   0.3290           
SPECEFF:   -1.78  22.75   0.3200           
SPECEFF:   -1.78  22.85   0.3115           
SPECEFF:   -1.78  22.95   0.3034           
SPECEFF:   -1.78  23.05   0.2958           
SPECEFF:   -1.78  23.15   0.2886           
SPECEFF:   -1.78  23.25   0.2817           
SPECEFF:   -1.78  23.35   0.2751           
SPECEFF:   -1.78  23.45   0.2689           
SPECEFF:   -1.78  23.55   0.2629           
SPECEFF:   -1.78  23.65   0.2572           
SPECEFF:   -1.78  23.75   0.2518           
SPECEFF:   -1.78  23.85   0.2466           
SPECEFF:   -1.78  23.95   0.2416           
SPECEFF:   -1.78  24.05   0.2368           
SPECEFF:   -1.78  24.15   0.2322           
SPECEFF:   -1.78  24.25   0.2278           
SPECEFF:   -1.78  24.35   0.2236           
SPECEFF:   -1.78  24.45   0.2195           
SPECEFF:   -1.78  24.55   0.2156           
SPECEFF:   -1.78  24.65   0.2118           
SPECEFF:   -1.78  24.75   0.2082           
SPECEFF:   -1.78  24.85   0.2046           
SPECEFF:   -1.78  24.95   0.2012           
SPECEFF:   -1.73  15.05   1.0000           
SPECEFF:   -1.73  15.15   1.0000           
SPECEFF:   -1.73  15.25   1.0000           
SPECEFF:   -1.73  15.35   1.0000           
SPECEFF:   -1.73  15.45   1.0000           
SPECEFF:   -1.73  15.55   1.0000           
SPECEFF:   -1.73  15.65   1.0000           
SPECEFF:   -1.73  15.75   1.0000           
SPECEFF:   -1.73  15.85   1.0000           
SPECEFF:   -1.73  15.95   1.0000           
SPECEFF:   -1.73  16.05   1.0000           
SPECEFF:   -1.73  16.15   1.0000           
SPECEFF:   -1.73  16.25   1.0000           
SPECEFF:   -1.73  16.35   1.0000           
SPECEFF:   -1.73  16.45   1.0000           
SPECEFF:   -1.73  16.55   1.0000           
SPECEFF:   -1.73  16.65   1.0000           
SPECEFF:   -1.73  16.75   1.0000           
SPECEFF:   -1.73  16.85   1.0000           
SPECEFF:   -1.73  16.95   1.0000           
SPECEFF:   -1.73  17.05   1.0000           
SPECEFF:   -1.73  17.15   1.0000           
SPECEFF:   -1.73  17.25   1.0000           
SPECEFF:   -1.73  17.35   1.0000           
SPECEFF:   -1.73  17.45   1.0000           
SPECEFF:   -1.73  17.55   1.0000           
